task_response_id;match_id;evaluator_id;player_id;position_id;analysis_id;attribute_id;attribute_value
4915;62935;177676;1361061;2;12818495;4322;56.00
4915;62935;177676;1361061;2;12818495;4323;56.00
4915;62935;177676;1361061;2;12818495;4324;67.00
4915;62935;177676;1361061;2;12818495;4325;56.00
4915;62935;177676;1361061;2;12818495;4326;45.00
4915;62935;177676;1361061;2;12818495;4327;56.00
4915;62935;177676;1361061;2;12818495;4328;56.00
4915;62935;177676;1361061;2;12818495;4329;67.00
4915;62935;177676;1361061;2;12818495;4330;45.00
4915;62935;177676;1361061;2;12818495;4332;56.00
4915;62935;177676;1361061;2;12818495;4333;67.00
4915;62935;177676;1361061;2;12818495;4335;67.00
4915;62935;177676;1361061;2;12818495;4338;45.00
4915;62935;177676;1361061;2;12818495;4339;67.00
4915;62935;177676;1361061;2;12818495;4340;34.00
4915;62935;177676;1361061;2;12818495;4341;34.00
4915;62935;177676;1361061;2;12818495;4342;45.00
4915;62935;177676;1361061;2;12818495;4343;34.00
4915;62935;177676;1361061;2;12818495;4344;34.00
4915;62935;177676;1361061;2;12818495;4345;45.00
4915;62935;177676;1361061;2;12818495;4348;56.00
4915;62935;177676;1361061;2;12818495;4349;45.00
4915;62935;177676;1361061;2;12818495;4350;56.00
4915;62935;177676;1361061;2;12818495;4351;56.00
4915;62935;177676;1361061;2;12818495;4352;56.00
4915;62935;177676;1361061;2;12818495;4353;56.00
4915;62935;177676;1361061;2;12818495;4354;56.00
4915;62935;177676;1361061;2;12818495;4355;56.00
4915;62935;177676;1361061;2;12818495;4356;67.00
4915;62935;177676;1361061;2;12818495;4357;56.00
4915;62935;177676;1361061;2;12818495;4407;56.00
4915;62935;177676;1361061;2;12818495;4408;67.00
4915;62935;177676;1361061;2;12818495;4423;34.00
4915;62935;177676;1361061;2;12818495;4426;45.00
4915;62935;177676;1361626;10;12818524;4322;56.00
4915;62935;177676;1361626;10;12818524;4323;67.00
4915;62935;177676;1361626;10;12818524;4324;78.00
4915;62935;177676;1361626;10;12818524;4325;78.00
4915;62935;177676;1361626;10;12818524;4326;56.00
4915;62935;177676;1361626;10;12818524;4327;56.00
4915;62935;177676;1361626;10;12818524;4328;78.00
4915;62935;177676;1361626;10;12818524;4329;67.00
4915;62935;177676;1361626;10;12818524;4330;78.00
4915;62935;177676;1361626;10;12818524;4332;67.00
4915;62935;177676;1361626;10;12818524;4333;67.00
4915;62935;177676;1361626;10;12818524;4335;67.00
4915;62935;177676;1361626;10;12818524;4338;67.00
4915;62935;177676;1361626;10;12818524;4339;56.00
4915;62935;177676;1361626;10;12818524;4340;56.00
4915;62935;177676;1361626;10;12818524;4341;67.00
4915;62935;177676;1361626;10;12818524;4342;67.00
4915;62935;177676;1361626;10;12818524;4343;67.00
4915;62935;177676;1361626;10;12818524;4344;100.00
4915;62935;177676;1361626;10;12818524;4345;78.00
4915;62935;177676;1361626;10;12818524;4348;56.00
4915;62935;177676;1361626;10;12818524;4349;56.00
4915;62935;177676;1361626;10;12818524;4350;78.00
4915;62935;177676;1361626;10;12818524;4351;67.00
4915;62935;177676;1361626;10;12818524;4352;67.00
4915;62935;177676;1361626;10;12818524;4353;78.00
4915;62935;177676;1361626;10;12818524;4354;78.00
4915;62935;177676;1361626;10;12818524;4355;67.00
4915;62935;177676;1361626;10;12818524;4356;67.00
4915;62935;177676;1361626;10;12818524;4357;67.00
4915;62935;177676;1361626;10;12818524;4407;78.00
4915;62935;177676;1361626;10;12818524;4408;56.00
4915;62935;177676;1361626;10;12818524;4423;78.00
4915;62935;177676;1361626;10;12818524;4426;67.00
4915;62935;177676;1361858;6;12818499;4322;45.00
4915;62935;177676;1361858;6;12818499;4323;56.00
4915;62935;177676;1361858;6;12818499;4324;56.00
4915;62935;177676;1361858;6;12818499;4325;56.00
4915;62935;177676;1361858;6;12818499;4326;56.00
4915;62935;177676;1361858;6;12818499;4327;45.00
4915;62935;177676;1361858;6;12818499;4328;56.00
4915;62935;177676;1361858;6;12818499;4329;56.00
4915;62935;177676;1361858;6;12818499;4330;56.00
4915;62935;177676;1361858;6;12818499;4332;56.00
4915;62935;177676;1361858;6;12818499;4333;56.00
4915;62935;177676;1361858;6;12818499;4335;45.00
4915;62935;177676;1361858;6;12818499;4338;56.00
4915;62935;177676;1361858;6;12818499;4339;56.00
4915;62935;177676;1361858;6;12818499;4340;45.00
4915;62935;177676;1361858;6;12818499;4341;45.00
4915;62935;177676;1361858;6;12818499;4342;56.00
4915;62935;177676;1361858;6;12818499;4343;45.00
4915;62935;177676;1361858;6;12818499;4344;45.00
4915;62935;177676;1361858;6;12818499;4345;56.00
4915;62935;177676;1361858;6;12818499;4348;45.00
4915;62935;177676;1361858;6;12818499;4349;45.00
4915;62935;177676;1361858;6;12818499;4350;45.00
4915;62935;177676;1361858;6;12818499;4351;56.00
4915;62935;177676;1361858;6;12818499;4352;56.00
4915;62935;177676;1361858;6;12818499;4353;45.00
4915;62935;177676;1361858;6;12818499;4354;56.00
4915;62935;177676;1361858;6;12818499;4355;56.00
4915;62935;177676;1361858;6;12818499;4356;56.00
4915;62935;177676;1361858;6;12818499;4357;56.00
4915;62935;177676;1361858;6;12818499;4407;56.00
4915;62935;177676;1361858;6;12818499;4408;56.00
4915;62935;177676;1361858;6;12818499;4423;45.00
4915;62935;177676;1361858;6;12818499;4426;56.00
